Item,Translated
هزینه‌های مالی,هزینه‌های مالی
هزینههای مالی,هزینه‌های مالی
هزینه‌های کارکنان,هزینه‌های کارکنان
هزینه‌های فروش، اداری و عمومی,هزینه‌های فروش، اداری و عمومی
هزینههای فروش، اداری و عمومی,هزینه‌های فروش، اداری و عمومی
هزینه‏هاى مالى,هزینه‌های مالی
هزینههاى مالى,هزینه‌های مالی
هزینه‏هاى فروش، ادارى و عمومى,هزینه‌های فروش، اداری و عمومی
هزینههاى فروش، ادارى و عمومى,هزینه‌های فروش، اداری و عمومی
هزینهها,هزینهها
هزینه های مالی,هزینه‌های مالی
هزینه های عمومی، اداری و تشکیلاتی,هزینه های عمومی، اداری و تشکیلاتی
هزینه های عمومی اداری و تشکیلاتی,هزینه های عمومی، اداری و تشکیلاتی
هزینه های اداری و عمومی,هزینه های اداری و عمومی
هزینه های اداری عمومی و فروش,هزینه‌های فروش، اداری و عمومی
هزینه مطالبات مشکوک‌الوصول,هزینه مطالبات مشکوک‌الوصول
هزینه مطالبات مشکوک الوصول,هزینه مطالبات مشکوک‌الوصول
هزینه مالیات بر درآمد:,هزینه مالیات بر درآمد:
هزینه کاهش ارزش دریافتنی‏ها (هزینه استثنایی),هزینه کاهش ارزش دریافتنی‏ها (هزینه استثنایی)
هزینه کارمزد و کارمزد منافع سهم نگهداری,هزینه کارمزد و کارمزد منافع سهم نگهداری
هزینه کارمزد و کارمزد منافع,هزینه کارمزد و کارمزد منافع
هزینه کارمزد ارکان,هزینه کارمزد ارکان
هزینه کارمزد,هزینه کارمزد
هزینه سهم وزارت بهداشت,هزینه سهم وزارت بهداشت
هزینه سهم نیروی انتظامی,هزینه سهم نیروی انتظامی
هزینه سهم صندوق تامین خسارت‌های بدنی,هزینه سهم صندوق تامین خسارت‌های بدنی
هزینه خسارت سهم نگهداری,هزینه خسارت سهم نگهداری
هزینه خسارت,هزینه خسارت
هزینه حق بیمه اتکایی واگذاری,هزینه حق بیمه اتکایی واگذاری
هزینه تامین منابع مالی عملیات لیزینگ,هزینه تامین منابع مالی عملیات لیزینگ
هزینه استهلاک,هزینه استهلاک
نتیجه مبادلات ارزی,نتیجه مبادلات ارزی
ناشی از عملیات متوقف شده,ناشی از عملیات متوقف شده
ناشی از عملیات در حال تداوم,ناشی از عملیات در حال تداوم
منافع فاقد حق کنترل,منافع فاقد حق کنترل
مالیات بر درآمد,مالیات بر درآمد
مالیات,مالیات
مالکان شرکت اصلی,مالکان شرکت اصلی
گردش حساب سود (زیان) انباشته تلفیقی,گردش حساب سود (زیان) انباشته تلفیقی
کاهشافزایش سرمایه از محل زیانسود انباشته,کاهش افزایش سرمایه از محل زیان سود انباشته
کاهش افزایش سرمایه از محل زیانسود انباشته,کاهش افزایش سرمایه از محل زیان سود انباشته
کاهش افزایش ذخایر خسارت,کاهش افزایش ذخایر خسارت
کاهش افزایش ذخایر حق بیمه,کاهش افزایش ذخایر حق بیمه
کارمزد و سایر درآمدها,کارمزد و سایر درآمدها
کارمزد ارکان صندوق,کارمزد ارکان صندوق
قابل انتساب به:,قابل انتساب به:
فروش و درآمد ارائه خدمات,فروش و درآمد ارائه خدمات
فروش خالص,فروش خالص
فروش,فروش
غیرعملیاتی (ریال),غیرعملیاتی
غیرعملیاتی,غیرعملیاتی
عملیاتی (ریال),عملیاتی
عملیاتی,عملیاتی
عملیات متوقف شده:,عملیات متوقف شده:
عملیات در حال تداوم:,عملیات در حال تداوم:
سود(زیان) پایه هر سهم,سود(زیان) پایه هر سهم
سود و وجه التزام فعالیت‌های غیرمشاع,سود و وجه التزام فعالیت‌های غیرمشاع
سود و وجه التزام تسهیلات اعطایی,سود و وجه التزام تسهیلات اعطایی
سود هر واحد سرمایه‌گذاری,سود هر واحد سرمایه‌گذاری
سود هر سهم پس از کسر مالیات,سود هر سهم پس از کسر مالیات
سود ناویژه,سود ناویژه
سود ناخالص,سود ناخالص
سود مصوب,سود مصوب
سود قبل از احتساب سهم گروه از سود شرکتهای وابسته,سود قبل از احتساب سهم گروه از سود شرکتهای وابسته
سود قابل تخصیص,سود قابل تخصیص
سود عملیاتى,سود عملیاتى
سود عملیات در حال تداوم قبل از مالیات,سود عملیات در حال تداوم قبل از مالیات
سود علی‌الحساب سپرده‌های سرمایه‌گذاری,سود علی‌الحساب سپرده‌های سرمایه‌گذاری
سود علی الحساب سپرده های سرمایه گذاری,سود علی‌الحساب سپرده‌های سرمایه‌گذاری
سود سهام مصوب مجمع,سود سهام مصوب مجمع
سود سهام‌ مصوب,سود سهام‌ مصوب
سود سهام مصوب,سود سهام‌ مصوب
سود سهام پیشنهادی,سود سهام پیشنهادی
سود سهام,سود سهام
سود زیانتقلیل یافته هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی,سود زیانتقلیل یافته هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی
سود زیان ناخالص فعالیت بیمه ای قبل از درآمد سرمایه گذاری از محل ذخایر فنی,سود زیان ناخالص فعالیت بیمه ای قبل از درآمد سرمایه گذاری از محل ذخایر فنی
سود زیان ناخالص فعالیت بیمه ای,سود زیان ناخالص فعالیت بیمه ای
سود زیان ناخالص,سود زیان ناخالص
سود زیان قبل از مالیات,سود زیان قبل از کسر مالیات
سود زیان قبل از کسر مالیات,سود زیان قبل از کسر مالیات
سود زیان قبل از اقلام غیر مترقبه اثرات انباشته تغییر در اصول و روشهای حسابداری,سود زیان قبل از اقلام غیر مترقبه اثرات انباشته تغییر در اصول و روشهای حسابداری
سود زیان قبل از احتساب سهم گروه از سود شرکت‌های وابسته,سود زیان قبل از احتساب سهم گروه از سود شرکت‌های وابسته
سود زیان فروش سرمایه گذاری ها,سود زیان فروش سرمایه گذاری ها
سود زیان عملیاتی,سود زیان عملیاتی
سود زیان عملیات متوقف ‌شده پس از اثر مالیاتی,سود زیان عملیات متوقف ‌شده پس از اثر مالیاتی
سود زیان عملیات متوقف شده پس از اثر مالیاتی,سود زیان عملیات متوقف ‌شده پس از اثر مالیاتی
سود زیان عملیات در حال تداوم قبل از مالیات,سود زیان عملیات در حال تداوم قبل از مالیات
سود زیان خالص هر سهم ریال,سود زیان خالص هر سهم ریال
سود زیان خالص هر سهم–ریال,سود زیان خالص هر سهم ریال
سود زیان خالص هر سهم– ریال,سود زیان خالص هر سهم ریال
سود زیان خالص هر سهم- ریال,سود زیان خالص هر سهم ریال
سود زیان خالص قبل از کسر مالیات,سود زیان خالص قبل از کسر مالیات
سود زیان خالص قابل انتساب به صاحبان سهام شرکت اصلی,سود زیان خالص قابل انتساب به صاحبان سهام شرکت اصلی
سود زیان خالص عملیات در حال تداوم قبل از مالیات,سود زیان خالص عملیات در حال تداوم قبل از مالیات
سود زیان خالص عملیات در حال تداوم,سود زیان خالص عملیات در حال تداوم
سود زیان خالص پس از کسر مالیات,سود زیان خالص پس از کسر مالیات
سود زیان خالص,سود زیان خالص
سود زیان حاصل از سرمایه‌گذاری‌ها و سپرده‌گذاری‌ها,سود زیان حاصل از سرمایه‌گذاری‌ها و سپرده‌گذاری‌ها
سود زیان حاصل از سرمایه گذاری ها و سپرده گذاری ها,سود زیان حاصل از سرمایه‌گذاری‌ها و سپرده‌گذاری‌ها
سود زیان تقلیل یافته هر سهم ناشی از عملیات متوقف‌ شده,سود زیان تقلیل یافته هر سهم ناشی از عملیات متوقف‌ شده
سود زیان تقلیل یافته هر سهم ناشی از عملیات متوقف ‌شده,سود زیان تقلیل یافته هر سهم ناشی از عملیات متوقف‌ شده
سود زیان تقلیل یافته هر سهم ناشی از عملیات متوقف شده,سود زیان تقلیل یافته هر سهم ناشی از عملیات متوقف‌ شده
سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی,سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی
سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم - عملیاتی,سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم - عملیاتی
سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی,سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی
سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- عملیاتی,سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم - عملیاتی
سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم,سود زیان تقلیل یافته هر سهم ناشی از عملیات در حال تداوم
سود زیان تقلیل یافته هر سهم - غیرعملیاتی,سود زیان تقلیل یافته هر سهم - غیرعملیاتی
سود زیان تقلیل یافته هر سهم - عملیاتی,سود زیان تقلیل یافته هر سهم - عملیاتی
سود زیان تقلیل یافته هر سهم,سود زیان تقلیل یافته هر سهم
سود زیان تغییر ارزش سرمایه گذاری در اوراق بهادار,سود زیان تغییر ارزش سرمایه گذاری در اوراق بهادار
سود زیان پایه هر سهم ناشی از عملیات متوقف‌ شده,سود زیان پایه هر سهم ناشی از عملیات متوقف‌ شده
سود زیان پایه هر سهم ناشی از عملیات متوقف ‌شده,سود زیان پایه هر سهم ناشی از عملیات متوقف‌ شده
سود زیان پایه هر سهم ناشی از عملیات متوقف شده,سود زیان پایه هر سهم ناشی از عملیات متوقف‌ شده
سود زیان پایه هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی,سود زیان پایه هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی
سود زیان پایه هر سهم ناشی از عملیات در حال تداوم - عملیاتی,سود زیان پایه هر سهم ناشی از عملیات در حال تداوم - عملیاتی
سود زیان پایه هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی,سود زیان پایه هر سهم ناشی از عملیات در حال تداوم - غیرعملیاتی
سود زیان پایه هر سهم ناشی از عملیات در حال تداوم- عملیاتی,سود زیان پایه هر سهم ناشی از عملیات در حال تداوم - عملیاتی
سود زیان پایه هر سهم ناشی از عملیات در حال تداوم,سود زیان پایه هر سهم ناشی از عملیات در حال تداوم
سود زیان پایه هر سهم - غیرعملیاتی,سود زیان پایه هر سهم - غیرعملیاتی
سود زیان پایه هر سهم - عملیاتی,سود زیان پایه هر سهم - عملیاتی
سود زیان پایه هر سهم,سود زیان پایه هر سهم
سود زیان انباشته‌ قابل انتساب به صاحبان سهام شرکت اصلی,سود زیان انباشته‌ قابل انتساب به صاحبان سهام شرکت اصلی
سود زیان انباشته در پایان دوره,سود زیان انباشته در پایان دوره
سود زیان انباشته در ابتدای سال دوره مالی,سود زیان انباشته در ابتدای سال دوره مالی
سود زیان انباشته در ابتدای سال / دوره مالی - تعدیل شده,سود زیان انباشته در ابتدای سال / دوره مالی - تعدیل شده
سود زیان انباشته در ابتدای سال,سود زیان انباشته در ابتدای سال
سود زیان انباشته در ابتدای دوره تعدیل شده,سود زیان انباشته در ابتدای دوره تعدیل شده
سود زیان انباشته‌ پایان‌ دوره,سود زیان انباشته‌ پایان‌ دوره
سود زیان انباشته پایان دوره,سود زیان انباشته‌ پایان‌ دوره
